Employee ID,Burn Rate
fffe31003300390039003000,0.63
fffe31003300310037003800,0.36
fffe33003400380035003900,0.44
fffe3100370039003200,0.37
fffe32003600390036003700,0.54
fffe3600390032003200,0.48
fffe3600370032003200,0.28
fffe32003900390030003000,0.67
fffe3100370031003000,0.61
fffe31003500320037003600,0.49
fffe3400370031003100,0.38
fffe32003800300035003300,0.33
fffe31003700380037003700,0.37
fffe33003400300038003900,0.6
fffe33003100300039003600,0.62
fffe33003400380038003300,0.55
fffe33003400310032003500,0.63
fffe33003400360032003000,0.81
fffe32003800360033003400,0.25
fffe3600350031003700,0.51
fffe3200310033003500,0.35
fffe370039003500,0.19
fffe32003500340036003200,0.51
fffe360038003200,0.62
fffe31003800300039003900,0.53
fffe32003500310034003200,0.38
fffe33003100320039003300,0.48
fffe33003000330034003700,0.36
fffe32003500310039003300,0.31
fffe31003500310033003200,0.29
fffe31003900320038003800,0.39
fffe31003400340039003000,0.87
fffe390033003000,0.45
fffe3700360033003400,0.0
fffe31003700390034003900,0.18
fffe31003700360035003900,0.6
fffe31003200370037003900,0.37
fffe31003400310038003500,0.38
fffe32003200370033003000,0.43
fffe31003300320036003300,0.31
fffe3900390034003600,0.64
fffe32003300310032003600,0.23
fffe3500360039003300,0.93
fffe3700340039003900,0.7
fffe31003400370032003200,0.28
fffe360032003200,0.24
fffe33003100340030003600,0.6
fffe31003500300037003700,0.31
fffe31003600390038003800,0.34
fffe33003300360030003500,0.55
fffe3900380030003300,0.34
fffe31003700330034003500,0.39
fffe31003500360036003900,0.31
fffe3200380033003100,0.59
fffe3900360033003900,0.67
fffe33003000370031003200,0.54
fffe32003700370036003200,0.23
fffe31003400320034003300,0.49
fffe32003600360034003200,0.21
fffe32003700380035003100,0.71
fffe31003400350034003200,0.21
fffe31003000320038003200,0.56
fffe32003400300030003800,0.49
fffe32003600320038003300,0.44
fffe3300340035003700,0.38
fffe31003900320032003000,0.37
fffe3300370032003100,0.3
fffe33003300350038003900,0.17
fffe32003900360038003700,0.23
fffe3100380033003400,0.53
fffe3900390032003500,0.16
fffe32003200320035003600,0.26
fffe32003700380031003900,0.22
fffe3400330034003000,0.43
fffe33003300380035003400,0.3
fffe3300380034003000,0.62
fffe32003500360039003200,0.58
fffe31003700360038003600,0.43
fffe33003300370036003200,0.59
fffe3200340039003500,0.6
fffe3600300036003500,0.67
fffe31003300370032003000,0.61
fffe3700360036003700,0.66
fffe33003200390030003200,0.13
fffe31003500340035003100,0.61
fffe33003000350035003300,0.04
fffe31003400300036003000,0.72
fffe31003700330035003200,0.51
fffe33003000320032003400,0.42
fffe32003300350034003700,0.23
fffe32003200340034003400,0.35
fffe3800380035003100,0.14
fffe33003100310039003900,0.6
fffe3700330032003300,0.36
fffe32003300390033003900,0.46
fffe31003500370037003700,0.32
fffe32003000310035003500,0.28
fffe38003200,0.76
fffe31003900310032003600,0.75
fffe32003200320039003900,0.18
fffe33003000360035003200,0.41
fffe33003100390031003800,0.64
fffe32003800360031003400,0.67
fffe32003300320034003300,0.7
fffe3800330032003400,0.37
fffe3600380038003000,0.36
fffe32003500320030003700,0.31
fffe33003400330032003600,0.28
fffe32003300380030003600,0.66
fffe31003000360032003900,0.75
fffe3300310032003500,0.3
fffe3200320033003000,0.75
fffe340032003600,0.42
fffe3900390036003500,0.89
