Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
fffe32003000360033003200,2008-09-30,Female,Service,No,2.0,3.0,3.8,0.16
fffe3700360033003500,2008-11-30,Male,Service,Yes,1.0,2.0,5.0,0.36
fffe31003300320037003900,2008-03-10,Female,Product,Yes,2.0,,5.8,0.49
fffe32003400380032003900,2008-11-03,Male,Service,Yes,1.0,1.0,2.6,0.2
fffe31003900340031003600,2008-07-24,Female,Service,No,3.0,7.0,6.9,0.52
fffe3300350037003500,2008-11-26,Male,Product,Yes,2.0,4.0,3.6,0.29
fffe33003300340039003100,2008-01-02,Female,Service,No,3.0,6.0,7.9,0.62
fffe32003600320037003400,2008-10-31,Female,Service,Yes,2.0,4.0,4.4,0.33
fffe32003200300034003700,2008-12-27,Female,Service,No,3.0,6.0,,0.56
fffe31003600320030003200,2008-03-09,Female,Product,No,3.0,6.0,,0.67
fffe33003100330032003700,2008-03-16,Male,Product,Yes,2.0,3.0,5.3,0.5
fffe3400310035003800,2008-05-12,Male,Service,Yes,0.0,1.0,1.8,0.12
fffe32003100300030003700,2008-01-20,Male,Service,Yes,2.0,5.0,,0.4
fffe31003800330032003500,2008-02-23,Female,Product,No,1.0,3.0,,0.33
fffe33003100330036003300,2008-05-14,Male,Product,Yes,1.0,3.0,5.8,0.51
fffe31003700350033003100,2008-02-03,Female,Service,Yes,3.0,5.0,4.7,0.32
fffe33003200360037003000,2008-03-17,Male,Service,Yes,1.0,2.0,5.9,0.39
fffe31003500350030003400,2008-03-28,Male,Service,No,3.0,6.0,6.7,0.59
fffe31003000380035003800,2008-05-29,Female,Product,Yes,2.0,4.0,4.0,0.22
fffe3300350037003200,2008-06-27,Female,Service,No,3.0,5.0,,0.68
fffe31003300360039003000,2008-08-31,Male,Product,No,2.0,4.0,7.6,0.57
fffe32003700370038003300,2008-01-15,Male,Service,Yes,1.0,3.0,6.3,0.47
fffe31003800390035003300,2008-05-04,Male,Service,Yes,1.0,3.0,6.7,0.46
fffe3700370035003600,2008-11-17,Female,Product,Yes,3.0,,7.7,0.61
fffe3700300033003500,2008-09-14,Female,Service,No,3.0,8.0,,0.91
fffe3700370038003000,2008-10-09,Female,Service,Yes,3.0,,5.8,0.4
fffe3200340036003400,2008-10-11,Male,Service,No,2.0,4.0,6.6,0.44
fffe3600330034003600,2008-09-18,Female,Service,No,2.0,4.0,7.4,0.6
fffe31003600310031003600,2008-09-16,Female,Service,No,2.0,5.0,6.7,0.46
fffe3400310034003500,2008-11-26,Female,Service,Yes,2.0,4.0,,0.45
fffe32003300340037003400,2008-05-12,Female,Product,Yes,1.0,2.0,3.6,0.2
fffe3500380031003000,2008-12-16,Female,Service,Yes,1.0,2.0,3.9,0.2
fffe32003400340039003400,2008-10-11,Female,Service,No,0.0,1.0,3.0,0.19
fffe31003500310034003800,2008-03-10,Male,Service,No,1.0,3.0,4.7,0.31
fffe32003700310030003800,2008-05-03,Male,Product,No,4.0,8.0,8.7,0.81
fffe32003800300036003300,2008-08-04,Male,Service,Yes,3.0,5.0,4.4,0.39
fffe390036003000,2008-07-31,Female,Service,Yes,3.0,6.0,5.8,0.42
fffe32003700390039003300,2008-06-17,Female,Product,Yes,0.0,2.0,3.9,0.19
fffe32003500390036003500,2008-04-28,Female,Service,Yes,3.0,7.0,6.6,0.56
fffe33003400390030003300,2008-10-30,Female,Service,No,4.0,7.0,7.3,0.53
fffe3200350030003300,2008-02-27,Female,Service,Yes,3.0,5.0,,0.5
fffe3800360036003400,2008-06-22,Female,Product,Yes,1.0,3.0,5.4,0.33
fffe33003200380030003900,2008-02-18,Male,Service,No,2.0,5.0,5.0,0.45
fffe31003800370038003900,2008-06-24,Female,Service,Yes,2.0,3.0,6.0,0.36
fffe31003700330031003000,2008-12-08,Female,Service,Yes,3.0,6.0,7.5,0.59
fffe31003500330034003700,2008-08-05,Male,Service,Yes,2.0,3.0,,
fffe32003300380035003700,2008-04-11,Male,Service,No,4.0,10.0,10.0,0.94
fffe3500320032003000,2008-03-26,Female,Product,Yes,3.0,6.0,,
fffe3900300031003500,2008-08-09,Female,Product,No,3.0,,7.7,0.61
fffe32003700300034003600,2008-08-28,Female,Product,Yes,1.0,3.0,6.0,0.37
fffe31003500390030003200,2008-03-21,Male,Service,No,2.0,6.0,7.4,0.65
fffe31003500360032003800,2008-07-22,Female,Service,Yes,2.0,5.0,6.4,0.49
fffe31003300360038003700,2008-05-20,Female,Service,No,1.0,2.0,5.1,
fffe32003100320039003700,2008-01-23,Male,Service,Yes,1.0,3.0,5.6,0.38
fffe31003200340033003100,2008-10-09,Male,Product,No,2.0,5.0,7.4,0.62
fffe33003100340034003900,2008-09-10,Female,Product,Yes,3.0,5.0,6.1,0.39
fffe32003100340032003800,2008-05-26,Female,Product,Yes,2.0,4.0,3.1,0.15
fffe380030003100,2008-12-22,Male,Service,No,2.0,5.0,8.0,0.61
fffe3900310031003800,2008-04-08,Female,Product,No,1.0,2.0,4.0,0.26
fffe3200390030003200,2008-12-22,Female,Service,No,2.0,2.0,3.6,0.28
fffe3800370031003300,2008-02-25,Male,Product,Yes,2.0,5.0,8.7,0.71
fffe3300320030003200,2008-04-24,Male,Product,No,3.0,,8.0,0.68
fffe33003200310034003500,2008-01-08,Female,Service,No,3.0,5.0,6.8,0.57
fffe32003200310030003200,2008-11-20,Female,Service,Yes,2.0,3.0,4.9,0.39
fffe3300300031003100,2008-09-11,Female,Product,No,3.0,6.0,7.9,0.61
fffe33003300310030003900,2008-06-11,Male,Product,No,3.0,6.0,7.6,0.62
fffe31003200340034003500,2008-02-28,Female,Service,No,5.0,9.0,9.2,0.8
fffe32003400320036003200,2008-05-03,Male,Service,Yes,4.0,6.0,6.5,0.63
fffe3600330031003200,2008-08-20,Female,Service,No,3.0,5.0,6.8,0.6
fffe31003300330034003700,2008-10-18,Female,Product,No,4.0,8.0,8.7,0.79
fffe3600330032003400,2008-08-14,Male,Service,Yes,2.0,5.0,6.2,0.39
fffe3500300037003900,2008-01-08,Female,Service,No,3.0,5.0,5.8,0.36
fffe33003400360037003500,2008-07-17,Female,Product,No,2.0,4.0,6.6,0.5
fffe32003500310039003700,2008-09-11,Male,Product,No,4.0,7.0,8.2,0.72
fffe32003600370032003500,2008-07-05,Female,Service,Yes,2.0,3.0,4.9,0.34
fffe3200350037003200,2008-02-04,Female,Service,No,1.0,2.0,4.1,0.27
fffe3800390036003200,2008-08-01,Male,Service,No,3.0,7.0,7.4,0.66
fffe3400390032003600,2008-05-01,Female,Product,Yes,0.0,1.0,,0.04
fffe33003300360032003700,2008-05-21,Male,Service,Yes,1.0,2.0,4.4,0.27
fffe32003600360039003700,2008-11-26,Female,Service,No,2.0,6.0,6.9,0.67
fffe3200360031003700,2008-10-21,Female,Product,Yes,1.0,2.0,5.3,0.38
fffe33003300350036003100,2008-03-19,Female,Service,Yes,2.0,2.0,4.3,0.28
fffe31003600360039003900,2008-09-27,Male,Product,Yes,0.0,1.0,0.8,0.05
fffe31003500340038003100,2008-03-28,Female,Service,Yes,2.0,4.0,2.9,0.22
fffe32003400320034003800,2008-03-12,Female,Service,Yes,1.0,3.0,5.0,0.39
fffe31003300310036003300,2008-05-20,Male,Service,Yes,1.0,4.0,6.9,0.52
fffe33003100300031003200,2008-09-17,Female,Service,No,3.0,5.0,4.7,0.39
fffe31003300310037003900,2008-02-13,Female,Service,No,1.0,3.0,2.0,0.11
fffe3300300036003900,2008-09-19,Female,Service,No,2.0,4.0,5.4,0.44
fffe3300360039003000,2008-07-03,Male,Product,No,2.0,5.0,6.1,0.5
fffe3500340030003800,2008-10-27,Female,Product,Yes,1.0,4.0,5.1,0.41
fffe3800390038003000,2008-08-09,Female,Service,Yes,1.0,2.0,3.8,
fffe31003500310038003800,2008-01-22,Male,Product,No,4.0,9.0,,0.76
fffe340035003800,2008-04-15,Female,Service,Yes,3.0,5.0,4.7,0.43
fffe31003700300036003800,2008-10-26,Male,Service,Yes,3.0,5.0,5.4,0.46
fffe32003900320033003900,2008-01-31,Female,Service,No,4.0,7.0,9.1,0.85
fffe380031003300,2008-01-03,Male,Service,Yes,1.0,3.0,5.0,0.35
fffe33003200330030003500,2008-03-13,Male,Product,No,1.0,1.0,0.0,0.0
fffe33003300390037003700,2008-03-27,Male,Product,Yes,2.0,4.0,4.3,0.34
fffe31003500380034003100,2008-08-20,Female,Service,Yes,2.0,,6.7,0.44
fffe32003500370036003100,2008-10-11,Female,Product,No,2.0,5.0,5.7,0.55
fffe33003200300033003500,2008-11-15,Male,Service,Yes,4.0,6.0,6.8,0.62
fffe32003500370037003600,2008-08-17,Male,Service,No,3.0,6.0,7.6,0.72
fffe32003400380030003100,2008-11-30,Male,Product,Yes,3.0,8.0,8.3,0.71
fffe32003800330033003400,2008-08-08,Female,Product,No,1.0,3.0,5.5,0.39
fffe32003500360037003200,2008-06-28,Female,Service,No,1.0,3.0,5.3,0.48
fffe31003700350033003000,2008-05-06,Female,Service,No,3.0,7.0,8.0,0.7
fffe3900300032003700,2008-12-17,Male,Service,Yes,4.0,6.0,6.4,0.56
fffe3400320031003800,2008-09-08,Female,Service,Yes,1.0,3.0,3.6,0.27
fffe3300360035003600,2008-07-04,Female,Product,Yes,2.0,5.0,7.0,0.66
fffe31003900360033003300,2008-10-28,Female,Product,No,3.0,7.0,7.6,0.56
fffe32003800300036003600,2008-05-06,Male,Service,No,2.0,5.0,8.7,0.79
fffe31003900310039003200,2008-02-19,Female,Product,Yes,0.0,1.0,2.6,0.18
fffe3400390037003700,2008-04-08,Female,Service,Yes,2.0,4.0,4.7,0.33
fffe31003600300039003700,2008-02-11,Male,Service,Yes,2.0,4.0,6.4,0.4
fffe33003100380034003500,2008-03-02,Female,Service,No,2.0,5.0,5.8,0.39
fffe3800380039003400,2008-08-10,Female,Service,No,1.0,1.0,3.3,0.23
fffe31003500390038003000,2008-01-04,Female,Product,Yes,2.0,4.0,5.9,0.45
fffe3600310036003700,2008-10-12,Female,Product,No,2.0,,7.8,0.67
fffe3800390030003800,2008-11-14,Male,Product,Yes,1.0,3.0,7.0,0.52
fffe3300390033003100,2008-09-02,Female,Service,No,4.0,7.0,7.2,0.6
fffe3900330037003500,2008-10-04,Male,Service,Yes,3.0,7.0,7.9,0.59
fffe31003400350030003200,2008-05-31,Female,Product,No,3.0,5.0,,
fffe3300360038003700,2008-09-16,Female,Service,Yes,1.0,3.0,5.9,0.36
fffe32003400390034003500,2008-03-03,Male,Service,No,1.0,3.0,4.4,0.29
fffe33003100300035003600,2008-02-21,Male,Service,Yes,2.0,5.0,5.2,0.34
fffe31003900380032003800,2008-03-26,Female,Product,Yes,2.0,4.0,5.3,0.34
fffe3900340036003300,2008-02-03,Male,Service,No,3.0,5.0,,
fffe31003900300036003900,2008-12-04,Female,Service,No,4.0,6.0,,0.67
fffe31003600300030003000,2008-09-05,Female,Product,Yes,4.0,,8.9,0.76
fffe390031003100,2008-09-17,Female,Product,Yes,3.0,4.0,5.2,0.46
fffe31003300380039003700,2008-02-24,Male,Service,Yes,2.0,5.0,4.5,0.36
fffe32003700390032003000,2008-12-09,Female,Product,No,2.0,3.0,6.6,0.45
fffe32003000300035003100,2008-01-19,Female,Product,Yes,3.0,5.0,3.8,0.27
fffe33003400340033003100,2008-01-26,Male,Product,No,3.0,7.0,7.6,0.65
fffe32003200360039003000,2008-05-10,Female,Service,Yes,1.0,4.0,,
fffe3900380037003500,2008-05-16,Female,Product,Yes,3.0,6.0,5.6,0.34
fffe31003300380033003700,2008-08-10,Female,Service,Yes,1.0,3.0,5.4,0.37
fffe33003000340037003600,2008-06-28,Male,Product,Yes,1.0,2.0,4.9,0.25
fffe32003600370033003700,2008-05-07,Male,Service,No,2.0,5.0,7.3,0.57
fffe3600320032003900,2008-05-03,Male,Service,No,2.0,5.0,5.6,0.52
fffe31003100360037003000,2008-09-16,Female,Product,Yes,3.0,4.0,5.7,
fffe3400330035003800,2008-10-16,Female,Product,No,4.0,8.0,7.8,0.75
fffe3600380039003200,2008-07-09,Female,Product,Yes,4.0,7.0,6.7,0.55
